Prom_pondera,Porcentaje_asistencia,Autoevaluaciones,Curso_cargo,Sexo,Sede,Edad,Trabaja,Graduado
19,0.43,3,0,F,Arequipa,23,No,No
18,0.75,11,1,M,Lambayeque,23,No,Si
18,0.31,2,0,F,Lambayeque,23,No,Si
14,0.93,10,1,M,Arequipa,26,No,Si
20,0.85,10,0,F,Chimbote,22,No,Si
14,0.98,2,0,F,Loreto,28,Si,Si
20,0.31,6,0,F,Loreto,21,No,Si
15,0.57,8,0,M,Lambayeque,21,No,No
16,0.09,4,0,F,Lima,17,Si,No
18,0.55,6,0,F,Lambayeque,17,Si,No
19,0.16,7,1,M,Lambayeque,28,Si,No
20,0.61,12,0,F,Lima,26,No,No
19,0.68,11,0,M,Chimbote,24,Si,Si
14,0.28,9,0,M,Lambayeque,25,No,No
15,0.0,13,0,F,Loreto,24,No,Si
18,0.2,5,0,M,Loreto,29,Si,No
16,0.12,5,1,F,Chimbote,23,No,Si
20,0.98,10,1,M,Lambayeque,27,Si,No
19,0.35,8,1,F,Chimbote,25,Si,No
16,0.54,10,0,M,Lima,23,Si,Si
19,0.83,4,1,M,Lima,24,No,No
16,0.42,16,0,F,Chimbote,21,Si,Si
17,0.83,6,1,F,Loreto,19,Si,No
17,0.38,12,0,F,Arequipa,28,No,Si
18,0.85,12,0,F,Chimbote,27,Si,No
15,0.37,14,0,F,Lima,17,No,Si
16,0.8,7,1,M,Chimbote,24,No,Si
19,0.98,9,0,F,Lambayeque,19,No,Si
20,0.48,10,0,F,Lima,22,Si,No
19,0.17,5,1,M,Chimbote,30,No,No
14,0.89,12,1,F,Chimbote,19,Si,No
19,0.24,2,1,F,Arequipa,20,No,Si
20,0.36,14,0,F,Loreto,21,Si,No
17,0.25,13,0,M,Loreto,19,Si,No
17,0.38,1,0,M,Lambayeque,27,Si,Si
18,0.73,8,1,M,Loreto,26,Si,Si
18,0.68,1,1,M,Chimbote,25,No,Si
16,0.9,6,0,F,Chimbote,24,No,No
14,0.78,7,1,F,Chimbote,25,No,No
14,0.2,5,1,M,Lima,17,No,Si
17,0.35,11,1,M,Loreto,22,No,No
14,0.48,12,0,F,Arequipa,19,No,No
17,0.29,10,1,F,Chimbote,26,No,Si
16,0.86,6,0,M,Chimbote,19,No,Si
16,0.06,11,0,F,Chimbote,25,Si,No
18,0.94,11,0,M,Arequipa,25,Si,Si
18,0.02,5,0,M,Lima,17,No,Si
19,0.91,13,1,M,Arequipa,23,Si,Si
15,0.94,8,0,F,Arequipa,18,No,Si
17,0.94,1,0,F,Loreto,20,Si,No
19,0.98,16,0,F,Arequipa,20,Si,Si
16,0.71,4,0,F,Loreto,29,No,Si
17,0.97,8,0,F,Lima,27,Si,No
14,0.46,14,1,F,Chimbote,17,No,No
14,0.42,5,1,M,Chimbote,21,Si,Si
16,0.06,13,0,F,Lambayeque,21,No,No
19,0.9,6,1,F,Loreto,27,No,No
19,0.66,2,0,F,Chimbote,21,No,Si
16,0.03,16,1,F,Arequipa,17,No,Si
16,0.01,10,1,F,Arequipa,19,Si,No
18,0.14,8,0,F,Lambayeque,26,No,Si
20,0.33,16,1,M,Chimbote,28,No,Si
18,0.23,3,1,F,Lambayeque,28,No,Si
19,0.91,8,0,M,Lima,24,No,No
18,0.65,8,0,F,Lima,28,Si,No
14,0.74,14,1,F,Chimbote,22,No,No
19,0.64,11,1,F,Loreto,20,Si,No
17,0.45,14,1,F,Lima,21,No,No
19,0.36,10,0,F,Lima,20,Si,Si
20,0.55,4,1,M,Chimbote,20,Si,No
16,0.88,10,0,M,Lambayeque,17,Si,Si
16,0.4,14,1,F,Chimbote,30,No,No
18,0.2,5,0,M,Lima,26,No,Si
17,0.48,12,0,F,Lambayeque,26,No,No
14,0.44,16,0,F,Arequipa,23,Si,Si
16,0.8,5,1,M,Arequipa,29,Si,No
15,0.3,16,0,M,Arequipa,20,Si,Si
15,0.06,10,1,M,Loreto,23,No,Si
15,0.91,16,0,M,Lima,18,No,Si
15,0.61,1,0,F,Lambayeque,27,No,No
16,0.93,1,1,F,Loreto,26,No,No
18,0.82,10,1,F,Loreto,26,Si,Si
14,0.59,4,0,M,Lambayeque,20,No,Si
16,0.24,14,0,F,Chimbote,25,Si,Si
15,0.97,6,0,F,Lima,30,No,Si
16,0.38,16,0,F,Lambayeque,22,No,Si
18,0.09,2,1,M,Chimbote,22,No,No
20,0.48,15,0,M,Lambayeque,29,No,Si
14,0.76,10,1,F,Lambayeque,30,No,No
16,0.25,15,1,M,Lima,24,No,No
20,0.07,11,0,F,Lima,25,Si,Si
19,0.43,8,1,F,Chimbote,20,No,No
15,0.68,15,0,M,Lambayeque,29,Si,Si
17,0.4,11,1,F,Loreto,19,Si,Si
15,0.44,8,1,F,Lima,19,No,No
15,0.67,16,0,M,Lima,20,Si,No
18,0.95,9,0,M,Loreto,27,Si,No
17,0.1,6,1,F,Arequipa,19,No,No
15,0.31,3,1,M,Loreto,20,No,No
19,0.85,12,0,M,Loreto,18,Si,No
20,0.14,7,1,M,Arequipa,20,Si,Si
20,0.71,15,0,M,Lima,29,Si,Si
16,0.08,8,0,F,Lima,23,No,No
19,0.25,11,0,F,Arequipa,23,Si,Si
17,0.78,10,0,F,Arequipa,20,No,No
16,0.18,10,0,M,Chimbote,29,No,Si
20,0.37,16,1,F,Lima,21,Si,Si
17,0.25,5,1,F,Loreto,29,Si,Si
19,0.87,1,1,F,Loreto,22,No,Si
16,0.29,2,1,F,Chimbote,18,Si,Si
20,0.52,12,1,M,Lambayeque,27,Si,Si
19,0.16,12,1,M,Lambayeque,29,No,Si
